,yo,tu,el/ella,nosotros,vosotros,ellos/ellas
314,reducía,reducías,reducía,reducíamos,reducíais,reducían
315,tardaba,tardabas,tardaba,tardábamos,tardabais,tardaban
316,merecía,merecías,merecía,merecíamos,merecíais,merecían
317,realizaba,realizabas,realizaba,realizábamos,realizabais,realizaban
318,marchaba,marchabas,marchaba,marchábamos,marchabais,marchaban
319,ejercía,ejercías,ejercía,ejercíamos,ejercíais,ejercían
320,cuestionaba,cuestionabas,cuestionaba,cuestionábamos,cuestionabais,cuestionaban
321,competía,competías,competía,competíamos,competíais,competían
322,chocaba,chocabas,chocaba,chocábamos,chocabais,chocaban
323,ordenaba,ordenabas,ordenaba,ordenábamos,ordenabais,ordenaban
324,marcaba,marcabas,marcaba,marcábamos,marcabais,marcaban
325,averiguaba,averiguabas,averiguaba,averiguábamos,averiguabais,averiguaban
326,demostraba,demostrabas,demostraba,demostrábamos,demostrabais,demostraban
327,cancelaba,cancelabas,cancelaba,cancelábamos,cancelabais,cancelaban
328,convertía,convertías,convertía,convertíamos,convertíais,convertían
329,lanzaba,lanzabas,lanzaba,lanzábamos,lanzabais,lanzaban
330,acercaba,acercabas,acercaba,acercábamos,acercabais,acercaban
331,pintaba,pintabas,pintaba,pintábamos,pintabais,pintaban
332,afeitaba,afeitabas,afeitaba,afeitábamos,afeitabais,afeitaban
333,escondía,escondías,escondía,escondíamos,escondíais,escondían
334,pegaba,pegabas,pegaba,pegábamos,pegabais,pegaban
335,enfocaba,enfocabas,enfocaba,enfocábamos,enfocabais,enfocaban
336,abolía,abolías,abolía,abolíamos,abolíais,abolían
337,colegía,colegías,colegía,colegíamos,colegíais,colegían
338,gemía,gemías,gemía,gemíamos,gemíais,gemían
339,abstenía,abstenías,abstenía,absteníamos,absteníais,abstenían
340,alquilaba,alquilabas,alquilaba,alquilábamos,alquilabais,alquilaban
341,kilometraba,kilometrabas,kilometraba,kilometrábamos,kilometrabais,kilometraban
342,apoyaba,apoyabas,apoyaba,apoyábamos,apoyabais,apoyaban
343,esquiaba,esquiabas,esquiaba,esquiábamos,esquiabais,esquiaban
344,amenazaba,amenazabas,amenazaba,amenazábamos,amenazabais,amenazaban
345,avisaba,avisabas,avisaba,avisábamos,avisabais,avisaban
346,planeaba,planeabas,planeaba,planeábamos,planeabais,planeaban
347,abocaba,abocabas,abocaba,abocábamos,abocabais,abocaban
348,desaparecía,desaparecías,desaparecía,desaparecíamos,desaparecíais,desaparecían
349,cargaba,cargabas,cargaba,cargábamos,cargabais,cargaban
350,abarcaba,abarcabas,abarcaba,abarcábamos,abarcabais,abarcaban
351,abofeteaba,abofeteabas,abofeteaba,abofeteábamos,abofeteabais,abofeteaban
352,borraba,borrabas,borraba,borrábamos,borrabais,borraban
353,atendía,atendías,atendía,atendíamos,atendíais,atendían
354,abdicaba,abdicabas,abdicaba,abdicábamos,abdicabais,abdicaban
355,ocupaba,ocupabas,ocupaba,ocupábamos,ocupabais,ocupaban
356,guiaba,guiabas,guiaba,guiábamos,guiabais,guiaban
357,proponía,proponías,proponía,proponíamos,proponíais,proponían
358,abastecía,abastecías,abastecía,abastecíamos,abastecíais,abastecían
359,tosía,tosías,tosía,tosíamos,tosíais,tosían
360,aterrizaba,aterrizabas,aterrizaba,aterrizábamos,aterrizabais,aterrizaban
361,definía,definías,definía,definíamos,definíais,definían
362,calificaba,calificabas,calificaba,calificábamos,calificabais,calificaban
363,describía,describías,describía,describíamos,describíais,describían
364,dependía,dependías,dependía,dependíamos,dependíais,dependían
365,xerocopiaba,xerocopiabas,xerocopiaba,xerocopiábamos,xerocopiabais,xerocopiaban
366,deletreaba,deletreabas,deletreaba,deletreábamos,deletreabais,deletreaban
367,oponía,oponías,oponía,oponíamos,oponíais,oponían
368,cabalgaba,cabalgabas,cabalgaba,cabalgábamos,cabalgabais,cabalgaban
369,aprovechaba,aprovechabas,aprovechaba,aprovechábamos,aprovechabais,aprovechaban
370,golpeaba,golpeabas,golpeaba,golpeábamos,golpeabais,golpeaban
371,alcanzaba,alcanzabas,alcanzaba,alcanzábamos,alcanzabais,alcanzaban
372,beneficiaba,beneficiabas,beneficiaba,beneficiábamos,beneficiabais,beneficiaban
373,cepillaba,cepillabas,cepillaba,cepillábamos,cepillabais,cepillaban
374,gobernaba,gobernabas,gobernaba,gobernábamos,gobernabais,gobernaban
375,mordía,mordías,mordía,mordíamos,mordíais,mordían
376,abonaba,abonabas,abonaba,abonábamos,abonabais,abonaban
377,sembraba,sembrabas,sembraba,sembrábamos,sembrabais,sembraban
378,transfería,transferías,transfería,transferíamos,transferíais,transferían
379,colocaba,colocabas,colocaba,colocábamos,colocabais,colocaban
380,colocaba,colocabas,colocaba,colocábamos,colocabais,colocaban
381,juzgaba,juzgabas,juzgaba,juzgábamos,juzgabais,juzgaban
382,prohibía,prohibías,prohibía,prohibíamos,prohibíais,prohibían
383,detenía,detenías,detenía,deteníamos,deteníais,detenían
384,publicaba,publicabas,publicaba,publicábamos,publicabais,publicaban
385,malgastaba,malgastabas,malgastaba,malgastábamos,malgastabais,malgastaban
386,madrugaba,madrugabas,madrugaba,madrugábamos,madrugabais,madrugaban
387,enamoraba,enamorabas,enamoraba,enamorábamos,enamorabais,enamoraban
388,regalaba,regalabas,regalaba,regalábamos,regalabais,regalaban
389,imaginaba,imaginabas,imaginaba,imaginábamos,imaginabais,imaginaban
390,mejoraba,mejorabas,mejoraba,mejorábamos,mejorabais,mejoraban
391,padecía,padecías,padecía,padecíamos,padecíais,padecían
392,fascinaba,fascinabas,fascinaba,fascinábamos,fascinabais,fascinaban
393,adquiría,adquirías,adquiría,adquiríamos,adquiríais,adquirían
394,zampaba,zampabas,zampaba,zampábamos,zampabais,zampaban
395,abominaba,abominabas,abominaba,abominábamos,abominabais,abominaban
396,juraba,jurabas,juraba,jurábamos,jurabais,juraban
397,dudaba,dudabas,dudaba,dudábamos,dudabais,dudaban
398,perseguía,perseguías,perseguía,perseguíamos,perseguíais,perseguían
399,maquillaba,maquillabas,maquillaba,maquillábamos,maquillabais,maquillaban
400,bautizaba,bautizabas,bautizaba,bautizábamos,bautizabais,bautizaban
401,jubilaba,jubilabas,jubilaba,jubilábamos,jubilabais,jubilaban
402,rechazaba,rechazabas,rechazaba,rechazábamos,rechazabais,rechazaban
403,introducía,introducías,introducía,introducíamos,introducíais,introducían
404,bienquería,bienquerías,bienquería,bienqueríamos,bienqueríais,bienquerían
405,imponía,imponías,imponía,imponíamos,imponíais,imponían
406,bastaba,bastabas,bastaba,bastábamos,bastabais,bastaban
407,obligaba,obligabas,obligaba,obligábamos,obligabais,obligaban
408,confiaba,confiabas,confiaba,confiábamos,confiabais,confiaban
409,temblaba,temblabas,temblaba,temblábamos,temblabais,temblaban
410,pertenecía,pertenecías,pertenecía,pertenecíamos,pertenecíais,pertenecían
411,eliminaba,eliminabas,eliminaba,eliminábamos,eliminabais,eliminaban
412,confesaba,confesabas,confesaba,confesábamos,confesabais,confesaban
413,percataba,percatabas,percataba,percatábamos,percatabais,percataban
414,enfriaba,enfriabas,enfriaba,enfriábamos,enfriabais,enfriaban
